index,Date,AverageTemperature,AverageTemperatureUncertainty
708,1/1/1959,6.344,0.207
709,2/1/1959,9.894,0.127
710,3/1/1959,11.479,0.393
711,4/1/1959,16.905,0.301
712,5/1/1959,22.821,0.079
713,6/1/1959,24.94,0.154
714,7/1/1959,26.639,0.285
715,8/1/1959,26.896,0.123
716,9/1/1959,23.932,0.313
717,10/1/1959,19.119,0.177
718,11/1/1959,11.086,0.133
719,12/1/1959,8.533,0.128
720,1/1/1960,7.173,0.219
721,2/1/1960,7.022,0.221
722,3/1/1960,7.631,0.099
723,4/1/1960,17.858,0.239
724,5/1/1960,20.071,0.305
725,6/1/1960,25.36,0.278
726,7/1/1960,27.394,0.165
727,8/1/1960,26.404,0.334
728,9/1/1960,23.868,0.133
729,10/1/1960,18.567,0.179
730,11/1/1960,12.273,0.181
731,12/1/1960,5.743,0.088
732,1/1/1961,4.301,0.207
733,2/1/1961,11.273,0.163
734,3/1/1961,14.456,0.089
735,4/1/1961,15.016,0.211
736,5/1/1961,20.049,0.274
737,6/1/1961,23.52,0.288
738,7/1/1961,25.722,0.205
739,8/1/1961,25.406,0.098
740,9/1/1961,23.765,0.113
741,10/1/1961,16.818,0.283
742,11/1/1961,13.337,0.143
743,12/1/1961,8.548,0.097
744,1/1/1962,6.106,0.107
745,2/1/1962,13.138,0.175
746,3/1/1962,10.746,0.145
747,4/1/1962,15.63,0.237
748,5/1/1962,24.208,0.241
749,6/1/1962,25.193,0.498
750,7/1/1962,27.319,0.211
751,8/1/1962,26.94,0.244
752,9/1/1962,23.797,0.25
753,10/1/1962,18.75,0.355
754,11/1/1962,10.973,0.137
755,12/1/1962,6.314,0.222
756,1/1/1963,4.234,0.134
757,2/1/1963,5.685,0.158
758,3/1/1963,14.853,0.184
759,4/1/1963,18.815,0.23
760,5/1/1963,22.172,0.296
761,6/1/1963,25.254,0.273
762,7/1/1963,25.863,0.325
763,8/1/1963,26.514,0.137
764,9/1/1963,23.083,0.283
765,10/1/1963,18.871,0.239
766,11/1/1963,12.082,0.259
767,12/1/1963,3.331,0.102
768,1/1/1964,6.09,0.291
769,2/1/1964,6.105,0.122
770,3/1/1964,12.569,0.137
771,4/1/1964,18.4,0.189
772,5/1/1964,22.009,0.278
773,6/1/1964,26.016,0.312
774,7/1/1964,25.906,0.184
775,8/1/1964,25.879,0.303
776,9/1/1964,23.824,0.178
777,10/1/1964,15.561,0.239
778,11/1/1964,13.871,0.162
779,12/1/1964,9.282,0.166
780,1/1/1965,8.236,0.157
781,2/1/1965,8.11,0.133
782,3/1/1965,10.943,0.26
783,4/1/1965,19.073,0.171
784,5/1/1965,22.773,0.302
785,6/1/1965,24.517,0.451
786,7/1/1965,26.246,0.259
787,8/1/1965,26.043,0.113
788,9/1/1965,24.028,0.208
789,10/1/1965,16.877,0.28
790,11/1/1965,14.171,0.293
791,12/1/1965,8.519,0.354
792,1/1/1966,4.711,0.235
793,2/1/1966,8.324,0.227
794,3/1/1966,12.141,0.208
795,4/1/1966,17.513,0.182
796,5/1/1966,21.023,0.217
797,6/1/1966,23.849,0.234
798,7/1/1966,27.502,0.261
799,8/1/1966,25.578,0.238
800,9/1/1966,23.042,0.263
801,10/1/1966,16.58,0.164
802,11/1/1966,12.876,0.173
803,12/1/1966,7.951,0.179
804,1/1/1967,7.813,0.23
